original_title,genres,popularity,vote_average,vote_count,runtime,release_year
Shrink,Comedy|Drama,0.495483,6.0,23,104,2009
In the Electric Mist,Thriller|Drama|Crime|Mystery,0.493969,6.0,60,117,2009
Space Buddies,Adventure|Drama|Family,0.492722,3.2,10,84,2009
Wonder Woman,Action|Adventure|Animation|Science Fiction,0.492691,7.2,56,74,2009
Bright Star,Drama|Romance,0.492366,6.3,65,119,2009
Stargate SG-1: Children of the Gods,Adventure|Thriller|Science Fiction,0.487353,6.7,50,92,2009
Assassin's Creed: Lineage,Action|Drama|History,0.48705,6.8,38,36,2009
Ninja,Action|Crime|Drama|Thriller,0.486687,5.4,54,83,2009
Santa Buddies,Adventure,0.486267,4.8,23,88,2009
Adventureland,Comedy,0.480074,6.3,400,107,2009
Extract,Comedy,0.478888,5.8,94,92,2009
Scooby-Doo! The Mystery Begins,Mystery|Animation|Comedy|Fantasy,0.477243,5.5,44,82,2009
Defendor,Drama|Action|Comedy|Crime,0.476687,6.3,85,101,2009
Beauty and the Beast,Fantasy,0.475826,5.6,16,90,2009
American Virgin,Comedy,0.474515,5.3,17,82,2009
Nine,Drama|Music|Romance,0.472113,5.0,95,112,2009
Red Riding: In the Year of Our Lord 1983,Thriller|Crime|Drama|Mystery,0.472064,6.0,10,100,2009
The Messenger,Drama|History,0.471747,6.9,61,113,2009
The Stepfather,Horror|Thriller|Mystery,0.471412,5.6,84,101,2009
Without a Paddle: Nature's Calling,Action|Adventure|Comedy,0.47064,5.5,10,96,2009
Away We Go,Drama|Comedy|Romance,0.461154,6.6,103,98,2009
My Life in Ruins,Comedy|Romance,0.458932,5.7,56,95,2009
My Sister's Keeper,Drama,0.457298,7.0,354,109,2009
Seulpeumboda deo seulpeun Iyagi,Drama|Foreign|Romance,0.454896,7.0,13,105,2009
Rampage,Action|Drama|Crime|Thriller,0.452402,6.0,61,85,2009
The Cove,Documentary,0.449535,7.9,146,92,2009
The Soloist,Drama,0.447106,6.5,133,109,2009
"Family Guy Presents: Something, Something, Something, Dark Side",Science Fiction|Animation|Comedy,0.442826,7.2,71,44,2009
Friday the 13th,Horror,0.441444,5.6,275,97,2009
The Greatest,Drama|Romance,0.439396,6.2,19,99,2009
Crossing Over,Drama,0.438147,5.8,49,113,2009
The Last House on the Left,Crime|Thriller|Horror|Drama,0.43466,6.1,210,110,2009
Mother and Child,Drama|Romance,0.430617,6.7,22,125,2009
Turtles Forever,Science Fiction|Adventure|Animation|Action|Family,0.430112,5.7,11,78,2009
Harry Brown,Thriller|Crime|Drama|Action,0.429492,6.6,172,103,2009
Surrogates,Action|Science Fiction|Thriller,0.427479,5.7,755,89,2009
Merantau,Action|Drama|Foreign|Thriller,0.427148,5.9,18,106,2009
Blood and Bone,Drama|Action|Thriller,0.426762,6.9,63,93,2009
Labor Pains,Comedy|Romance,0.426316,5.3,85,89,2009
Street Fighter: The Legend of Chun-Li,Action|Adventure|Science Fiction|Thriller,0.426205,4.1,71,97,2009
Hotel for Dogs,Comedy|Family,0.424415,5.6,108,100,2009
Creation,Drama|History,0.421521,6.3,26,108,2009
Veronika Decides to Die,Drama|Romance,0.42089,5.9,38,103,2009
Barbie Presents: Thumbelina,Animation|Family,0.417384,5.6,28,75,2009
Exam,Thriller|Mystery,0.416013,6.6,232,101,2009
Obsessed,Drama|Thriller,0.415099,5.5,67,108,2009
Tetro,Drama|Mystery,0.41491,6.7,19,127,2009
Children of the Corn,Drama|Horror|Thriller,0.249818,4.2,23,92,2009
The Keeper,Action|Adventure|Thriller,0.412708,5.0,16,94,2009
Lesbian Vampire Killers,Horror|Comedy,0.295735,5.1,61,86,2009
44 Inch Chest,Drama|Crime,0.41083,5.4,15,95,2009
The Good Witch's Garden,TV Movie|Comedy|Family|Fantasy|Romance,0.409673,5.2,11,85,2009
Whip It,Drama,0.409005,6.6,214,111,2009
The Trotsky,Comedy,0.408711,5.8,14,120,2009
Metropia,Animation|Drama|Science Fiction|Thriller,0.40847,6.2,29,86,2009
In the Loop,Comedy,0.405888,6.5,85,106,2009
Michael Jackson's This Is It,Music|Documentary,0.405828,6.6,156,111,2009
The Vicious Kind,Comedy|Drama,0.371642,6.3,21,92,2009
The Last Station,Drama|Romance,0.403188,6.5,22,112,2009
Contracorriente,Drama|Romance|Foreign,0.401697,6.9,26,100,2009
Dolan's Cadillac,Drama|Thriller,0.401071,5.6,13,81,2009
Dadnapped,TV Movie|Action|Adventure|Comedy|Family,0.400567,4.2,40,84,2009
The Limits of Control,Crime|Drama|Thriller|Mystery,0.398051,6.3,34,116,2009
According to Greta,Drama|Romance,0.397409,6.0,44,92,2009
Solomon Kane,Adventure|Fantasy|Action|Science Fiction,0.395616,5.5,230,104,2009
Dead Man Running,Action|Crime|Drama|Thriller,0.475095,5.9,14,92,2009
Survival of the Dead,Horror|Science Fiction,0.394989,4.6,35,90,2009
Dance Flick,Action|Comedy|Music,0.394271,4.8,40,83,2009
The Devil's Tomb,Action|Horror|Thriller|Science Fiction,0.393762,3.9,24,90,2009
Red Riding: In the Year of Our Lord 1974,Thriller|Mystery|Crime|Drama,0.391927,6.1,12,102,2009
Barbie and the Three Musketeers,Animation|Family,0.391867,6.1,34,81,2009
X-Men Origins: Wolverine,Adventure|Action|Thriller|Science Fiction,0.391859,6.2,2784,107,2009
Balls Out: The Gary Houseman Story,Comedy,0.389989,5.4,17,87,2009
Mutant Pumpkins from Outer Space,TV Movie|Animation|Family|Comedy,0.388271,6.1,48,27,2009
Mammoth,Drama|Romance,0.388227,5.7,19,125,2009
S. Darko,Thriller|Crime|Science Fiction|Mystery,0.388026,3.8,63,103,2009
Prison Break: The Final Break,Action|Drama|Thriller,0.383827,7.6,91,89,2009
Happily N'Ever After 2,Family|Animation,0.382268,4.0,25,75,2009
Virtuality,Drama|Romance|Science Fiction|Thriller,0.381469,4.6,20,87,2009
Tanner Hall,Drama,0.378554,5.7,18,96,2009
Black Dynamite,Action|Comedy,0.378522,7.4,102,90,2009
The Thaw,Horror|Science Fiction|Thriller,0.377372,4.7,28,90,2009
City Island,Drama|Comedy,0.376543,6.3,51,104,2009
The Gruffalo,Animation|Family,0.376307,6.6,41,27,2009
The Secret of Kells,Animation|Family|Fantasy,0.374157,7.1,108,75,2009
Amelia,Drama|Adventure|Romance,0.370497,5.3,41,111,2009
Screamers: The Hunting,Action|Horror|Science Fiction,0.370303,4.2,17,94,2009
Desert Flower,Drama,0.370172,7.3,42,120,2009
Partly Cloudy,Adventure|Animation|Comedy|Family|Fantasy,0.369792,7.9,218,5,2009
Der Knochenmann,Crime|Thriller|Comedy,0.369406,7.2,11,117,2009
Afro Samurai: Resurrection,Animation,0.369038,6.7,28,91,2009
Boogie Woogie,Comedy|Drama,0.366021,6.0,15,94,2009
Echelon Conspiracy,Action|Crime|Mystery,0.365372,5.4,58,105,2009
Beyond a Reasonable Doubt,Drama,0.363832,5.6,42,105,2009
Love and Other Impossible Pursuits,Drama,0.362858,6.0,77,102,2009
Possession,Drama|Thriller|Romance,0.360935,5.6,21,86,2009
Nativity!,Comedy|Family,0.360715,6.3,30,105,2009
BaarÃ¬a,Drama|Comedy,0.088773,6.9,56,150,2009
Dug's Special Mission,Animation|Adventure|Comedy|Family|Fantasy,0.358304,6.9,48,5,2009
Hunter Prey,Science Fiction|Thriller,0.356006,5.5,22,90,2009
Motherhood,Comedy|Drama,0.248559,5.1,25,90,2009
New in Town,Comedy|Romance,0.353203,5.3,50,97,2009
Me and Orson Welles,Comedy|Drama|Romance,0.348842,6.4,24,114,2009
Shorts,Comedy|Family,0.347707,4.8,20,89,2009
"My Son, My Son, What Have Ye Done",Crime|Drama|Thriller,0.34638,5.9,26,91,2009
Alice,Fantasy|Drama|Science Fiction,0.342084,6.0,32,240,2009
Miss March,Comedy|Romance,0.340416,5.3,42,89,2009
In Her Skin,Drama|Thriller,0.339657,6.1,17,107,2009
Five Minutes of Heaven,Crime|Drama|Thriller,0.376614,6.4,19,89,2009
Super Rhino,Animation|Comedy,0.569186,6.0,11,5,2009
Ju-on: Shiroi rÃ´jo,Horror,0.338175,6.2,12,61,2009
The Private Lives of Pippa Lee,Comedy|Drama|Romance,0.336426,6.1,31,98,2009
Imagine That,Comedy|Drama|Family|Fantasy,0.336167,5.7,77,107,2009
Personal Effects,Drama,0.335612,5.1,23,110,2009
Fame,Music|Comedy|Drama|Romance,0.333551,5.3,88,107,2009
From Within,Horror|Mystery|Thriller,0.116657,6.1,14,89,2009
Nine Miles Down,Horror|Mystery|Thriller,0.332142,5.4,16,86,2009
Robin Williams: Weapons of Self Destruction,Comedy,0.330949,6.6,11,90,2009
Prep & Landing,Animation|Fantasy|Family,0.330513,6.5,29,22,2009
Gentlemen Broncos,Action|Comedy|Thriller,0.32918,5.9,23,89,2009
Walled In,Horror|Thriller,0.32336,4.9,26,92,2009
The Human Centipede (First Sequence),Horror,0.32262,5.0,254,92,2009
Dread,Horror|Drama|Thriller,0.322516,5.8,31,108,2009
Dragonball Evolution,Action|Adventure|Fantasy|Science Fiction|Thriller,0.32232,3.1,261,85,2009
The Countess,Drama|History|Horror,0.232913,5.1,20,98,2009
John Rabe,Drama|History|War,0.319742,7.2,18,134,2009
Sorority Row,Horror|Mystery|Thriller,0.319532,5.3,92,101,2009
Hardwired,Action|Adventure|Science Fiction|Thriller,0.317799,4.9,17,94,2009
The Maiden Heist,Comedy|Crime,0.317301,5.7,41,91,2009
The Last Templar,Adventure|Fantasy|Drama|Thriller,0.317069,4.9,10,170,2009
Middle of Nowhere,Comedy|Drama,0.315422,6.3,12,95,2009
The Killing Room,Drama|Thriller,0.31482,5.4,38,93,2009
The House of the Devil,Mystery|Horror,0.31344,5.9,72,95,2009
Legally Blondes,Comedy|Family,0.311776,4.5,31,86,2009
The Revenant,Comedy|Horror,0.3106,5.5,30,110,2009
Giallo,Horror|Thriller|Crime|Mystery,0.309467,3.6,15,92,2009
Deep in the Valley,Comedy,0.30936,4.2,13,87,2009
The New Daughter,Horror|Thriller,0.303296,5.2,51,108,2009
Nowhere Boy,Drama,0.302925,6.9,152,98,2009
Prayers for Bobby,,0.302095,7.4,57,88,2009
St Trinian's 2: The Legend of Fritton's Gold,Comedy|Adventure,0.30092,5.1,46,106,2009
Stay Cool,Comedy,0.300313,4.5,11,94,2009
Behind Enemy Lines III: Colombia,War|Action|Thriller,0.299873,5.3,23,94,2009
Forget Me Not,Drama|Horror|Romance,0.298874,5.2,29,103,2009
Dead Like Me: Life After Death,Drama|Fantasy|Comedy,0.297677,5.8,37,87,2009
Open Graves,Horror|Thriller,0.294762,4.6,12,88,2009
Gifted Hands: The Ben Carson Story,Drama,0.263791,7.2,48,86,2009
B.O.B.'s Big Break,Animation|Adventure|Action|Comedy,0.294345,6.1,12,11,2009
Princess Protection Program,Comedy|Drama|Family,0.294343,6.1,188,89,2009
ChÃ©ri,Drama|Comedy|Romance,0.292324,5.8,29,86,2009
Tales of the Black Freighter,Animation|Horror|Action,0.292125,6.7,25,26,2009
The Joneses,Comedy|Drama,0.290674,6.0,117,96,2009
Arlen Faber,Comedy|Romance,0.290454,6.1,16,95,2009
Espion(s),Drama|Romance|Thriller,0.286478,6.0,11,99,2009
Mrs. Miracle,Comedy|Fantasy|Romance|TV Movie,0.2856,5.5,14,90,2009
Fired Up!,Comedy|Romance,0.285353,5.9,103,90,2009
Cherrybomb,Drama|Romance|Thriller,0.285338,5.9,24,86,2009
My One and Only,Comedy|Drama,0.284095,6.0,25,108,2009
The Firm,Drama,0.283496,6.3,13,90,2009
Serious Moonlight,Action|Comedy|Romance,0.279941,5.3,28,84,2009
Wanted,Action|Comedy|Crime|Thriller,0.278387,4.9,18,129,2009
World's Greatest Dad,Comedy|Romance,0.278321,6.3,67,99,2009
Road Trip: Beer Pong,Comedy,0.27373,5.2,39,96,2009
The Girlfriend Experience,Comedy|Drama,0.272422,5.5,41,77,2009
Night of the Demons,Horror,0.271147,4.2,19,93,2009
Wuthering Heights,Drama,0.103661,7.4,21,142,2009
Transylmania,Comedy|Horror,0.270283,3.7,11,92,2009
Damage,Action|Thriller,0.269902,5.6,15,102,2009
Summer's Blood,Horror|Thriller,0.266625,4.8,13,91,2009
Cold Souls,Fantasy|Drama|Comedy|Science Fiction,0.266267,6.5,17,101,2009
Into the Blue 2: The Reef,Action,0.265405,5.0,21,92,2009
A Dangerous Man,Action|Adventure|Thriller,0.265119,4.8,19,94,2009
When You're Strange,Documentary|Music,0.356209,7.6,29,86,2009
The Lodger,Horror|Mystery|Thriller,0.215709,5.1,19,96,2009
Dark Country,Horror|Thriller,0.252355,5.5,14,88,2009
Leningrad,War|Drama,0.258982,5.7,17,120,2009
The Phantom,Science Fiction|Action,0.133565,4.1,11,176,2009
Hulk vs. Thor,Action|Animation|Fantasy|Science Fiction,0.256975,6.4,38,41,2009
12 Men of Christmas,Comedy|Romance,0.07309,5.3,12,95,2009
Under the Sea 3D,Documentary,0.251166,6.8,13,41,2009
Into the Storm,Drama|History|Foreign,0.250389,5.8,13,100,2009
Frequently Asked Questions About Time Travel,Drama|Comedy|Science Fiction|Romance,0.250351,7.1,80,83,2009
De helaasheid der dingen,Drama|Comedy,0.249839,7.4,32,108,2009
Post Grad,Comedy,0.249295,5.1,63,89,2009
Grace,Horror|Thriller,0.321244,4.9,21,94,2009
Paper Heart,Comedy|Drama|Romance,0.118533,5.1,17,88,2009
Across the Hall,Thriller|Mystery|Romance,0.242864,6.3,15,93,2009
The Marine 2,Action|Adventure|Drama|Thriller,0.242794,4.2,23,95,2009
Ben 10: Alien Swarm,Adventure,0.242239,4.4,23,69,2009
Doghouse,Comedy|Horror,0.240757,5.6,46,89,2009
The Hills Run Red,Horror,0.168316,4.6,29,81,2009
Looking for Eric,Comedy|Drama,0.271818,6.0,35,119,2009
Taking Woodstock,Music|Comedy|Drama,0.235045,5.9,66,120,2009
George & A.J.,Animation|Adventure|Comedy|Family|Fantasy,0.781772,5.7,15,4,2009
The Terminators,Action|Horror|Science Fiction,0.235186,3.1,14,89,2009
Taking Chance,Drama|History|War,0.118447,6.7,17,77,2009
Notorious,Drama|Music,0.232346,6.6,85,122,2009
The Loved Ones,Horror,0.23156,6.3,99,84,2009
Everybody's Fine,Drama,0.230953,6.5,148,99,2009
Bionicle: The Legend Reborn,Action|Adventure|Animation|Family|Science Fiction,0.230359,4.9,17,80,2009
ZMD: Zombies of Mass Destruction,Horror,0.428574,3.7,14,92,2009
Crazy Heart,Drama|Music|Romance,0.226009,6.4,126,112,2009
The Three Investigators and the Secret of Terror Castle,Mystery|Adventure|Family,0.225875,5.7,11,97,2009
Tormented,Comedy|Horror,0.213292,4.7,15,91,2009
"The Goods: Live Hard, Sell Hard",Comedy,0.196421,5.3,35,90,2009
Triage,Drama|Thriller|Mystery,0.222544,6.5,23,99,2009
Ricky,Fantasy|Drama|Science Fiction|Foreign,0.221791,5.1,17,90,2009
Stolen Lives,Crime|Drama|Mystery|Thriller,0.220819,6.0,12,97,2009
I Hate Valentine's Day,Comedy|Romance,0.21893,4.9,45,98,2009
Driven To Kill,Action|Adventure|Thriller,0.218609,4.8,12,98,2009
"Give 'em Hell, Malone",Action|Crime|Mystery|Thriller,0.216906,6.3,13,96,2009
The Courageous Heart of Irena Sendler,Drama|War,0.213237,6.0,13,95,2009
The Jerk Theory,Comedy,0.212295,5.2,22,93,2009
Jusqu'Ã  toi,Comedy|Romance|Family,0.212004,4.7,11,81,2009
Perrierâ€™s Bounty,Action|Comedy|Crime|Drama,0.20979,4.8,11,88,2009
Alabama Moon,Action|Adventure|Drama|Family,0.223951,6.1,11,99,2009
Humpday,Comedy,0.209084,5.1,10,94,2009
The Haunted World of El Superbeasto,Animation|Horror|Action|Comedy,0.209043,6.9,18,77,2009
Not Forgotten,Crime|Horror|Mystery|Thriller,0.206657,5.4,15,100,2009
The Six Wives of Henry Lefay,Comedy,0.203813,6.2,11,95,2009
Tetsuo: The Bullet Man,Foreign|Action|Science Fiction|Thriller|Horror,0.203707,5.3,11,71,2009
TiMER,Fantasy|Drama|Comedy|Science Fiction|Romance,0.196413,5.9,60,99,2009
The September Issue,Documentary,0.195364,7.1,25,90,2009
Feast III: The Happy Finish,Horror|Action|Comedy,0.284873,4.5,15,79,2009
Like Dandelion Dust,Drama|Family,0.182881,7.0,11,100,2009
Tellement proches,Comedy,0.193267,6.5,37,102,2009
Homecoming,Horror|Thriller,0.529037,5.8,18,88,2009
I Hope They Serve Beer in Hell,Comedy|Drama,0.190162,5.6,11,106,2009
Amreeka,Drama,0.188104,6.4,11,96,2009
Emma,Romance|Comedy|Drama,0.189207,7.6,17,240,2009
Lebanon,Drama|War,0.14086,6.0,24,93,2009
Mega Shark vs Giant Octopus,Horror|Science Fiction,0.187796,4.5,21,90,2009
Lascars,Animation|Comedy,0.185586,6.6,38,96,2009
It Might Get Loud,Documentary|Music,0.182403,7.4,33,97,2009
The Cell 2,Horror|Science Fiction|Thriller,0.181456,3.4,13,94,2009
BrÃ¼no,Comedy,0.180029,5.2,288,83,2009
Wizards of Waverly Place: The Movie,Adventure|Comedy|Drama|Family|Fantasy,0.179972,5.8,177,94,2009
Accidents Happen,Comedy|Drama|Foreign,0.176846,6.5,12,92,2009
Oscar et la dame Rose,Drama,0.170087,6.6,13,105,2009
Command Performance,Action|Drama|Thriller,0.168985,4.0,12,93,2009
Futurama: Into the Wild Green Yonder,Animation|Comedy,0.236277,7.1,78,90,2009
Gabriel Iglesias: I'm Not Fat... I'm Fluffy,Comedy,0.166774,6.9,13,60,2009
The King of Fighters,Action|Thriller|Science Fiction,0.165343,4.6,18,93,2009
Mystery Team,Comedy|Thriller|Mystery,0.165257,7.0,21,97,2009
The Hunt for Gollum,Action|Adventure|Fantasy,0.164377,5.9,16,38,2009
Beautiful,Drama|Mystery|Thriller,0.159638,4.4,10,97,2009
Blood Creek,Horror|Thriller,0.159615,5.4,30,90,2009
Ace Ventura Jr: Pet Detective,Comedy|Family,0.158652,3.4,17,93,2009
Sorority Wars,Comedy|Drama|Family|TV Movie,0.158638,6.0,46,95,2009
Uncertainty,Drama|Thriller|Romance,0.157549,5.5,22,101,2009
Night Train,Thriller|Action|Crime,0.23818,5.3,22,87,2009
Infestation,Action|Comedy|Horror|Science Fiction,0.15559,5.8,23,93,2009
Next Day Air,Action|Comedy|Crime,0.155519,5.0,18,84,2009
The Good Guy,Comedy|Romance,0.154563,5.6,40,90,2009
The Canyon,Thriller,0.328199,5.9,10,102,2009
Goal! III: Taking On The World,Drama,0.149553,3.5,16,91,2009
Did You Hear About The Morgans?,Comedy,0.145905,5.0,181,103,2009
Garfield's Pet Force,Animation|Comedy|Family,0.145388,6.9,10,78,2009
The Grudge 3,Horror|Thriller,0.145081,5.4,74,90,2009
The Shortcut,Horror|Thriller,0.248508,4.6,19,100,2009
Doctor Who: Planet of the Dead,Family|Science Fiction|TV Movie|Adventure|Drama,0.143953,7.3,22,59,2009
Kevin Hart: I'm a Grown Little Man,Comedy,0.142609,7.6,29,72,2009
Coco,Comedy,0.141098,4.4,67,95,2009
Le Vilain,Comedy,0.137731,5.7,16,86,2009
Make the Yuletide Gay,Drama|Comedy|Romance,0.137656,6.0,14,89,2009
To Save A Life,Drama,0.135641,5.6,13,120,2009
Le Coach,Comedy,0.057316,5.7,11,92,2009
Good Hair,Comedy|Documentary,0.13313,7.0,17,95,2009
Ink,Action|Fantasy,0.132841,6.6,39,106,2009
Hit and Run,Drama|Thriller,0.190628,4.1,10,84,2009
Trailer Park Boys: Countdown to Liquor Day,Comedy|Crime,0.128532,6.2,16,101,2009
Amore 14,Comedy,0.126448,3.8,22,100,2009
Weather Girl,Action|Comedy|Mystery|Romance|Thriller,0.125174,5.2,10,92,2009
Paintball,Action|Foreign|Horror|Thriller,0.123497,3.7,19,90,2009
The Messengers 2: The Scarecrow,Horror,0.123044,5.1,26,94,2009
Lightbulb,Comedy|Drama|Romance,0.038585,5.5,15,85,2009
Spectacular!,Drama|Music,0.12035,5.2,13,0,2009
Against the Dark,Horror|Action|Thriller|Science Fiction,0.222882,3.5,19,94,2009
Stan Helsing,Comedy|Horror,0.11886,4.1,51,90,2009
The Diary of Anne Frank,Drama,0.256703,7.5,19,100,2009
Big Fan,Comedy|Drama,0.114458,5.7,16,91,2009
Italians,Comedy,0.114327,4.9,27,116,2009
Best Worst Movie,Documentary|Comedy,0.112717,7.6,17,93,2009
Sweet Karma,Action|Thriller,0.060334,4.7,10,85,2009
The Marc Pease Experience,Comedy,0.246935,4.5,10,84,2009
I Can Do Bad All By Myself,Drama|Comedy,0.109178,6.1,32,113,2009
Heartless,Drama|Horror|Thriller,0.108905,6.1,36,114,2009
2081,Action|Science Fiction|Thriller,0.108083,6.6,14,25,2009
Cairo Time,Drama|Romance,0.107537,5.7,11,88,2009
Hatching Pete,Comedy|Family,0.109128,5.1,14,90,2009
The Age of Stupid,War|Documentary|History,0.128661,6.0,10,92,2009
Iron Maiden: Flight 666,Documentary|Music,0.103773,8.3,28,112,2009
Life,Documentary,0.102223,7.0,24,500,2009
Mao's Last Dancer,Drama|Romance,0.166371,6.7,16,117,2009
Laid to Rest,Thriller|Horror,0.323342,5.2,19,90,2009
Vertige,Action|Thriller|Horror,0.097705,5.5,38,90,2009
The Slammin' Salmon,Comedy,0.097127,6.0,27,90,2009
Loose Change 9/11: An American Coup,Documentary,0.148198,6.0,23,99,2009
Down Terrace,Drama|Action|Comedy,0.092519,6.5,15,89,2009
Paa,Drama|Family|Foreign,0.091395,6.1,11,133,2009
A Very Potter Musical,Music|Comedy,0.091154,6.9,12,166,2009
Paranormal Entity,Horror|Mystery|Thriller,0.090552,4.6,21,88,2009
Fear Island,Horror|Thriller|Mystery,0.210628,4.6,18,95,2009
Art & Copy,Documentary,0.096111,6.9,15,89,2009
The Damned United,Drama,0.287231,7.1,65,97,2009
Collapse,Documentary,0.083178,7.7,23,82,2009
Doctor Who: The End of Time,Science Fiction|TV Movie,0.083031,7.9,21,146,2009
Direct Contact,Action|Adventure|Thriller,0.077477,3.5,10,90,2009
The War Boys,Drama,0.115707,5.6,11,92,2009
CinÃ©man,Comedy|Fantasy,0.073533,3.3,16,90,2009
Madea Goes to Jail,Comedy|Crime|Drama,0.073493,6.9,35,103,2009
35 Rhums,Drama|Foreign,0.07183,5.9,12,100,2009
Don McKay,Crime|Mystery|Thriller,0.090351,4.5,10,87,2009
The Wild and Wonderful Whites of West Virginia,Documentary,0.088781,5.7,13,86,2009
Book of Blood,Horror|Drama|Mystery|Thriller,0.059697,5.3,22,96,2009
La Guerre des Miss,Comedy,0.058977,5.5,12,89,2009
Objectified,Documentary,0.058472,7.2,46,75,2009
Hamlet,Drama,0.08649,6.4,13,185,2009
"Nightmares in Red, White and Blue",Documentary|Horror,0.050789,6.0,15,96,2009
The Winning Season,Comedy|Drama,0.047028,6.1,21,119,2009
Alien Trespass,Action|Adventure|Comedy|Science Fiction,0.044425,5.8,11,90,2009
Bring It On: Fight to the Finish,Comedy,0.043209,5.4,59,102,2009
Doctor Who: The Waters of Mars,Science Fiction|Adventure|Family,0.056777,8.0,25,62,2009
Logorama,Animation,0.135759,7.2,26,16,2009
Jonas Brothers: The Concert Experience,,0.020701,7.0,11,76,2009
R.T.T.,Comedy,0.029831,4.7,32,88,2009
Alma,Animation|Fantasy|Mystery,0.027045,7.2,28,6,2009
Waking Sleeping Beauty,Documentary|Family,0.026174,6.9,11,86,2009
Kurbaan,Foreign|Romance|Thriller,0.023254,4.9,10,155,2009
The Yes Men Fix the World,Documentary,0.024051,6.5,15,87,2009
Deadline,Drama|Horror|Thriller,0.021121,5.6,11,89,2009
Today's Special,Comedy|Romance,0.021041,6.3,18,99,2009
Un'estate ai Caraibi,Comedy,0.015926,4.2,12,110,2009
Table for Three,Comedy|Romance,0.169317,4.3,12,93,2009
Los Bandoleros,Action|Drama,0.01531,5.9,42,20,2009
Long Weekend,Drama|Horror|Thriller|Foreign,0.013174,6.0,10,87,2009
Map of the Sounds of Tokyo,Drama|Foreign|Romance|Thriller,0.01217,5.4,12,109,2009
Talhotblond,Documentary,0.00246,6.0,11,83,2009
His Name Was Jason: 30 Years of Friday the 13th,Documentary|Horror,0.257762,6.9,16,90,2009
Cencoroll,Animation|Science Fiction,0.005502,6.0,11,25,2009
De Dana Dan,Action|Comedy|Foreign,0.139545,4.4,11,166,2009
Jean Charles,Documentary|Drama|Foreign,0.00459,6.6,11,91,2009
ThanksKilling,Comedy|Horror|Thriller,0.019105,4.1,10,66,2009
Jim Jefferies: I Swear to God,Comedy,0.003432,7.0,11,58,2009
Une semaine sur deux,Drama|Family,0.005289,5.5,14,98,2009
Circle of Eight,Mystery|Horror,0.001423,4.3,11,84,2009
Inception,Action|Thriller|Science Fiction|Mystery|Adventure,9.363643,7.9,9767,148,2010
Iron Man 2,Adventure|Action|Science Fiction,5.70486,6.6,4920,124,2010
Alice in Wonderland,Family|Fantasy|Adventure,5.57295,6.3,2853,108,2010
Black Swan,Drama|Mystery|Thriller,5.29318,7.1,2597,108,2010
Harry Potter and the Deathly Hallows: Part 1,Adventure|Fantasy|Family,4.840588,7.4,3467,146,2010
Despicable Me,Action|Animation|Family,3.791881,7.1,4851,95,2010
The Expendables,Action|Thriller,3.74884,5.9,2025,103,2010
How to Train Your Dragon,Fantasy|Adventure|Animation|Family,3.560424,7.4,2949,98,2010
Shutter Island,Drama|Thriller|Mystery,3.176169,7.6,3554,138,2010
TRON: Legacy,Adventure|Action|Science Fiction,2.911727,6.3,2026,125,2010
Tangled,Animation|Family,2.865684,7.3,2019,100,2010
Toy Story 3,Animation|Family|Comedy,2.711136,7.5,2924,103,2010
Salt,Action|Thriller|Crime|Mystery,2.586787,6.2,1433,100,2010
127 Hours,Adventure|Drama|Thriller,2.440611,6.9,1645,94,2010
Easy A,Comedy,2.332359,6.6,1303,92,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure|Family|Fantasy,2.245241,6.0,905,113,2010
Kick-Ass,Action|Crime,2.225609,7.0,3085,117,2010
The Tourist,Action|Thriller|Romance,2.162441,6.0,1084,103,2010
Prince of Persia: The Sands of Time,Adventure|Fantasy|Action|Romance,2.128799,6.1,1545,116,2010
Robin Hood,Action,2.11831,6.1,844,140,2010
True Grit,Drama|Adventure|Western,2.100704,7.0,1084,110,2010
Clash of the Titans,Adventure|Fantasy|Action,2.087252,5.6,1530,106,2010
The Sorcerer's Apprentice,Fantasy|Adventure|Action|Comedy|Drama,2.053855,5.8,871,109,2010
Letters to Juliet,Comedy|Drama|Romance,2.033563,6.5,482,105,2010
The Social Network,Drama,1.923694,7.1,2022,120,2010
Scott Pilgrim vs. the World,Action|Adventure|Comedy,1.906739,7.2,1258,112,2010
Little Fockers,Comedy|Romance,1.903671,5.4,717,98,2010
Predators,Action|Science Fiction|Adventure|Thriller,1.888263,5.8,722,107,2010
Percy Jackson & the Olympians: The Lightning Thief,Adventure|Fantasy|Family,1.878018,6.0,1175,118,2010
Unstoppable,Action|Thriller,1.874641,6.2,733,98,2010
Shrek Forever After,Comedy|Adventure|Fantasy|Animation|Family,1.820934,6.0,1191,93,2010
Dear John,Drama|Romance|War,1.784073,6.5,737,115,2010
The A-Team,Thriller|Action|Adventure|Comedy|Crime,1.730679,6.2,1162,117,2010
RED,Action|Adventure|Comedy|Crime|Thriller,1.720825,6.5,2064,111,2010
Machete,Action|Comedy|Thriller,1.71986,6.2,753,105,2010
Grown Ups,Comedy,1.659355,6.1,1144,102,2010
The Book of Eli,Action|Thriller|Science Fiction,1.624483,6.5,1506,118,2010
Date Night,Comedy,1.618371,5.9,781,97,2010
The Town,Crime|Drama|Thriller,1.614028,6.9,930,125,2010
Remember Me,Drama|Romance,1.57937,6.8,568,113,2010
